href,name,hostname,port,protocol,process_name,win_service_name
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,52311,17,C:\Program Files (x86)\BigFix Enterprise\BES Client\BESClient.exe,BESClient
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,5050,17,C:\Windows\System32\svchost.exe,CDPSvc
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,4500,17,C:\Windows\System32\svchost.exe,IKEEXT
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,3389,17,C:\Windows\System32\svchost.exe,TermService
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,500,17,C:\Windows\System32\svchost.exe,IKEEXT
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,138,17,System,NetBIOS-NS
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,137,17,System,NetBIOS-DS
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,123,17,C:\Windows\System32\svchost.exe,W32Time
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,51448,6,System,WinRm
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,5985,6,System,WinRm
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,445,6,System,SMB
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,21,6,C:\Windows\System32\svchost.exe,ftpsvc
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,59074,6,C:\Windows\System32\lsass.exe,
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,52256,6,C:\Windows\System32\services.exe,
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,59124,6,C:\Windows\System32\svchost.exe,PolicyAgent
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,50862,6,C:\Windows\System32\svchost.exe,Schedule
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,59052,6,C:\Windows\System32\lsass.exe,Netlogon
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,55997,6,C:\Windows\System32\svchost.exe,EventLog
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,50455,6,C:\Windows\System32\wininit.exe,
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,3389,6,C:\Windows\System32\svchost.exe,TermService
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,139,6,System,NetBIOS-SS
/orgs/1/workloads/5c9ca670-ca7d-42b8-8551-45c59aeceac8,,vna-01,135,6,C:\Windows\System32\svchost.exe,RpcSs
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,52311,17,C:\Program Files (x86)\BigFix Enterprise\BES Client\BESClient.exe,BESClient
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,5050,17,C:\Windows\System32\svchost.exe,CDPSvc
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,4500,17,C:\Windows\System32\svchost.exe,IKEEXT
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,3389,17,C:\Windows\System32\svchost.exe,TermService
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,500,17,C:\Windows\System32\svchost.exe,IKEEXT
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,138,17,System,NetBIOS-NS
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,137,17,System,NetBIOS-DS
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,123,17,C:\Windows\System32\svchost.exe,W32Time
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,51277,6,System,WinRm
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,5985,6,System,WinRm
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,445,6,System,SMB
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,21,6,C:\Windows\System32\svchost.exe,ftpsvc
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,54342,6,C:\Windows\System32\lsass.exe,
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,55225,6,C:\Windows\System32\services.exe,
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,54382,6,C:\Windows\System32\svchost.exe,PolicyAgent
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,54253,6,C:\Windows\System32\svchost.exe,Schedule
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,50741,6,C:\Windows\System32\lsass.exe,Netlogon
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,58907,6,C:\Windows\System32\svchost.exe,EventLog
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,56801,6,C:\Windows\System32\wininit.exe,
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,3389,6,C:\Windows\System32\svchost.exe,TermService
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,139,6,System,NetBIOS-SS
/orgs/1/workloads/57935028-8eee-4997-a717-96ac35f55d8a,,vna-02,135,6,C:\Windows\System32\svchost.exe,RpcSs
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,52311,17,C:\Program Files (x86)\BigFix Enterprise\BES Client\BESClient.exe,BESClient
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,5050,17,C:\Windows\System32\svchost.exe,CDPSvc
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,4500,17,C:\Windows\System32\svchost.exe,IKEEXT
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,3389,17,C:\Windows\System32\svchost.exe,TermService
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,500,17,C:\Windows\System32\svchost.exe,IKEEXT
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,138,17,System,NetBIOS-NS
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,137,17,System,NetBIOS-DS
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,123,17,C:\Windows\System32\svchost.exe,W32Time
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,51219,6,System,WinRm
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,5985,6,System,WinRm
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,445,6,System,SMB
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,21,6,C:\Windows\System32\svchost.exe,ftpsvc
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,58491,6,C:\Windows\System32\lsass.exe,
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,50947,6,C:\Windows\System32\services.exe,
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,56386,6,C:\Windows\System32\svchost.exe,PolicyAgent
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,50903,6,C:\Windows\System32\svchost.exe,Schedule
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,52425,6,C:\Windows\System32\lsass.exe,Netlogon
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,55551,6,C:\Windows\System32\svchost.exe,EventLog
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,55157,6,C:\Windows\System32\wininit.exe,
/orgs/1/workloads/a7135af2-ba1c-4c27-be8f-8ddc3dcea8cf,,inf-jh01-prd,3389,6,C:\Windows\System32\svchost.exe,TermService
